symbol,ts,time,decision,context_key,meta_baseline_id,setup_family,side_intent,open,high,low,close,ctx_vwap,ctx_vwap_sigma,ctx_vwap_hi,ctx_vwap_lo,ctx_session_bucket,trend_dir_h2,range_pos_h2
XAUUSD.mg,2023-01-04 16:00:00,2023-01-04 16:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1856.49,1860.38,1849.06,1858.58,1847.1756666666668,5.0793383225015685,1857.33434331167,1837.016990021664,NY,UP,0.7897782063645135
XAUUSD.mg,2023-01-06 18:00:00,2023-01-06 18:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1863.45,1869.53,1860.97,1868.72,1839.4236363636364,9.243314995273572,1857.9102663541837,1820.9370063730892,NY_PM,UP,0.9794780846212328
XAUUSD.mg,2023-01-06 20:00:00,2023-01-06 20:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1868.72,1869.83,1865.85,1866.85,1840.77,9.768260519877908,1860.306521039756,1821.233478960244,NY_PM,UP,0.925069147598692
XAUUSD.mg,2023-01-12 20:00:00,2023-01-12 20:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1898.92,1899.55,1894.31,1898.4,1882.9450000000004,6.556026107722584,1896.0570522154453,1869.8329477845552,NY_PM,UP,0.8973286128097897
XAUUSD.mg,2023-03-01 14:00:00,2023-03-01 14:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1840.64,1844.52,1833.95,1842.32,1830.3674074074077,5.78499814874839,1841.937403704904,1818.7974111099104,NY,UP,0.9145962732919236
XAUUSD.mg,2023-03-15 16:00:00,2023-03-15 16:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1925.92,1927.33,1917.3,1927.17,1904.4983333333332,10.91832652632607,1926.3349863859853,1882.6616802806811,NY,UP,0.928730512249447
XAUUSD.mg,2023-03-17 16:00:00,2023-03-17 16:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1950.68,1964.98,1949.53,1959.33,1928.6583333333333,9.929466811881092,1948.5172669570957,1908.7993997095712,NY,UP,0.8888670338316267
XAUUSD.mg,2023-03-17 18:00:00,2023-03-17 18:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1959.04,1975.17,1955.07,1972.87,1931.084848484848,11.1776163512367,1953.4400811873213,1908.7296157823748,NY_PM,UP,0.9611158072696504
XAUUSD.mg,2023-03-17 20:00:00,2023-03-17 20:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1972.79,1987.77,1970.16,1976.04,1933.545,12.19300297769235,1957.9310059553843,1909.1589940446152,NY_PM,UP,0.8318520642201832
XAUUSD.mg,2023-03-23 14:00:00,2023-03-23 14:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1978.18,1984.8,1966.33,1983.84,1973.243703703704,14.616084343175508,2002.4758723900547,1944.0115350173528,NY,UP,0.9773691654879764
XAUUSD.mg,2023-03-23 16:00:00,2023-03-23 16:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1984.01,1986.79,1977.44,1983.83,1973.753,14.617507251002506,2002.988014502005,1944.517985497995,NY,UP,0.9295405855748624
XAUUSD.mg,2023-03-23 18:00:00,2023-03-23 18:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1983.78,1999.47,1982.49,1999.37,1975.024848484848,14.624931043458108,2004.2747105717644,1945.774986397932,NY_PM,UP,0.9981252343457042
XAUUSD.mg,2023-04-11 14:00:00,2023-04-11 14:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,2000.21,2002.33,1995.35,2001.16,1995.6296296296296,9.372446779847436,2014.3745231893247,1976.884736069935,NY,UP,0.7649340574088459
XAUUSD.mg,2023-04-11 16:00:00,2023-04-11 16:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,2001.17,2006.02,1999.5,2003.92,1996.0576666666668,9.412392478226211,2014.8824516231196,1977.2328817102143,NY,UP,0.8374384236453221
XAUUSD.mg,2023-06-08 20:00:00,2023-06-08 20:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1963.46,1965.07,1962.49,1964.6,1948.4344444444444,9.289873838491378,1967.0141921214272,1929.8546967674613,NY_PM,UP,0.8214402085369812
XAUUSD.mg,2023-06-30 18:00:00,2023-06-30 18:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1918.65,1922.34,1917.09,1918.21,1908.1200000000003,4.202703339288955,1916.5254066785783,1899.7145933214224,NY_PM,UP,0.8141314131413196
XAUUSD.mg,2023-06-30 20:00:00,2023-06-30 20:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1918.26,1919.97,1917.45,1919.69,1908.614166666667,4.532305299547042,1917.678777265761,1899.549556067573,NY_PM,UP,0.880738073807387
XAUUSD.mg,2023-07-12 18:00:00,2023-07-12 18:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1955.26,1959.26,1955.02,1956.86,1938.5863636363636,5.702688505567911,1949.9917406474992,1927.1809866252277,NY_PM,UP,0.9176107106076176
XAUUSD.mg,2023-07-18 14:00:00,2023-07-18 14:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1962.71,1971.67,1960.4,1970.92,1958.9407407407407,5.619838609470885,1970.1804179596825,1947.701063521799,NY,UP,0.963564530289731
XAUUSD.mg,2023-07-18 16:00:00,2023-07-18 16:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1970.92,1983.97,1970.8,1977.73,1960.2383333333332,6.010310844370517,1972.2589550220744,1948.2177116445923,NY,UP,0.8043887147335426
XAUUSD.mg,2023-07-31 18:00:00,2023-07-31 18:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1970.32,1971.9,1969.83,1970.61,1958.879333333333,8.746805533507247,1976.3729444003477,1941.385722266319,NY_PM,UP,0.934640522875813
XAUUSD.mg,2023-08-23 18:00:00,2023-08-23 18:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1917.93,1919.95,1917.08,1917.61,1903.037575757576,4.347295695071385,1911.7321671477184,1894.342984367433,NY_PM,UP,0.9023372287145184
XAUUSD.mg,2023-08-23 20:00:00,2023-08-23 20:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1917.52,1917.72,1915.92,1916.44,1903.7047222222225,4.610474027411308,1912.925670277045,1894.4837741674,NY_PM,UP,0.8487720809995698
XAUUSD.mg,2023-08-30 16:00:00,2023-08-30 16:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1947.03,1948.65,1943.73,1944.56,1937.824,4.329796576813543,1946.483593153627,1929.164406846373,NY,UP,0.7269692923898438
XAUUSD.mg,2023-10-11 14:00:00,2023-10-11 14:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1870.68,1874.64,1867.04,1871.81,1862.974074074074,4.212349350306111,1871.3987727746864,1854.5493753734615,NY,UP,0.8694047069681521
XAUUSD.mg,2023-10-13 16:00:00,2023-10-13 16:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1910.22,1922.76,1907.66,1922.59,1880.418,8.98054456805997,1898.37908913612,1862.45691086388,NY,UP,0.9969225199131052
XAUUSD.mg,2023-10-13 18:00:00,2023-10-13 18:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1922.66,1929.52,1922.03,1927.98,1882.969393939394,10.632413811672302,1904.2342215627384,1861.7045663160493,NY_PM,UP,0.9751612903225813
XAUUSD.mg,2023-10-13 20:00:00,2023-10-13 20:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1927.91,1930.37,1927.28,1928.0,1885.1197222222224,11.913690051445489,1908.9471023251133,1861.2923421193316,NY_PM,UP,0.9620314001922478
XAUUSD.mg,2023-10-20 14:00:00,2023-10-20 14:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1976.94,1987.61,1972.89,1986.73,1977.6540740740736,6.729156702245179,1991.112387478564,1964.1957606695837,NY,UP,0.9769934640522908
